poema,"Se equivocó la paloma.
Se equivocaba.
Por ir al Norte",", ","fue al Sur.
Creyó que el trigo era agua",,".
Se equivocaba",,".
Creyó que el mar era el cielo;
que la noche, la mañana",".
Se equivocaba",".
Que las estrellas, rocío;
que la calor, la nevada",,".
Se equivocaba",".
",Que tu falda era ,tu ,"blusa;
que tu corazón, su casa",".
Se equivocaba.
(Ella ","se durmió en la orilla.
Tú, en la cumbre de una rama",,.),
cancion_Labarberíadelsur_890,"Se equivocó la paloma.
 Se equivocaba.
 Por ir al Norte ",,"fue al Sur.
 Creyó que el trigo era agua",".
 Creyó que el mar era el cielo;
 que la noche, la mañana.
 Que las estrellas, rocío;
 que la calor, la nevada.
 Se equivocaba.
 Ella se durmió en la orilla.
 Tú, en la cumbre de una rama.
 (Tararea)
 Se equivocó la paloma",".
 Se equivocaba",".
 Por ir al Norte fue al Sur.
 Creyó que el trigo era agua",".
 Creyó que el mar era el cielo;
 que la noche, la mañana",,".
 Que las estrellas, rocío;
 que la calor, la nevada",".
 (Se equivocó la paloma",".
 Se equivocaba",".)
 ",Que tu falda era ,su ,"blusa;
 que tu corazón, su casa",".
 (Creyó que el mar era el cielo;
 que la noche, la mañana.)
 Y ella ","se durmió en la orilla.
 Tú, en la cumbre de una rama",".
 Se equivocó la paloma.
 Se equivocaba.
 Por ir al Norte fue al Sur.
 Creyó que el trigo era agua.
 Que tu falda era su blusa;
 que tu corazón, su casa.
 (Se equivocó la paloma.
 Se equivocaba.)
 Que las estrellas, rocío;
 que la calor, la nevada.
 (Se equivocó la paloma.
 Se equivocaba.)
 Creyó que el mar era el cielo;
 que la noche, la mañana.
 (Se equivocó la paloma.
 Se equivocaba.)
 Que mi corazón, tu casa.
 (Se equivocó la paloma.
 Se equivocaba",".)
 ","Que las estrellas, rocío;
 que la calor, la nevada.
 Se equivocó.
 Se equivocó.
 Ay, la paloma."
