poema,Riu,", ",riu,", ","chiu, la guarda ribera",",
",Dios guardó el lobo de nuestra cordera,".
El lobo rabioso
la quiso morder",",
",mas ,Dios ,"poderoso
la supo defender.
Quísole hazer
que no pudiesse pecar,
Ni aún original
esta virgen no tuviera",".
Riu",", ",riu,", ","chiu, la guarda ribera",,",
Dios guardó el lobo de nuestra cordera.
","Este ques nacido
es el gran monarcha",",
","Christo patriarcha
de carne vestido",".
","A nos redimido
con se hazer chiquito",",
","aunque era infinito,
finito se hiziera",".
Riu",", ",riu,", ","chiu, la guarda ribera",",
",Dios guardó el lobo de nuestra cordera,".
Muchas profecías
lo an profetizado,
Y aún en nuestros días
lo hemos alcançado.
A Dios humanado
vemos en el suelo,
y al hombre nel cielo
porquel le quisiera.
Riu, riu, chiu, la guarda ribera",",
Dios guardó el lobo de nuestra cordera.
Yo vi mil ","garçones
",que ,andavan ,cantando,",
",por aquí ,"bolando
haziendo ","mil sones,
",diziendo ,"a gascones
",«,Gloria sea en el ,"cielo
",y paz en el suelo,",
",pues Jesús ,"nasçiera».
Riu, riu, chiu, la guarda ribera,
Dios guardó el lobo de nuestra cordera.
Este viene a dar
a los muertos vida,
y viene a reparar
de todos la caýda.
Es la luz del día
aqueste moçuelo,
este es el cordero
que San Juan dixera.
",Riu,", ",riu,", ","chiu, la guarda ribera",",
",Dios guardó el lobo de nuestra cordera,".
Mira bien que os quadre
que ansina lo oyera,
que Dios no pudiera
hazerla más que madre.
El qu’era su padre,
oy d’ella nasçió,
y el que la crió,
su hyo se dixera.
Riu, riu, chiu, la guarda ribera",",
Dios guardó el lobo de nuestra cordera",".
Pues que ya tenemos
lo que desseamos,
todos juntos vamos
presentes llevemos;
todos le daremos
nuestra voluntad,
pues a se igualar
con el hombre viniera",.
cancion_FredPenners_21,Riu ,,riu ,,"chiu, la guarda ribera",";
 ",Dios guardó el lobo de nuestra cordera,,",
 ",,Dios ,guardó el lobo de nuestra cordera,".
 Riu ",,riu ,,"chiu, la guarda ribera",";
 Dios guardó el lobo de nuestra cordera",",
 Dios guardó el lobo de nuestra cordera.
 ",El lobo rabioso la quiso morder,",
 ",mas Dios poderoso la supo defender,".
 ",Quísola hazer que no pudiese pecar,",
 ",ni aun original esta Virgen no tuviera,".
 Riu ",,riu ,,"chiu, la guarda ribera",";
 ",Dios guardó el lobo de nuestra cordera,,",
 Dios guardó el lobo de nuestra cordera.
 Yo vi mil ",garzones ,que ,andaban ,"cantando
 ",,por aquí ,volando haciendo ,"mil sones,
 ",diciendo ,a gascones ,“,Gloria sea en el ,"Cielo,
 ",y paz en el suelo ,,pues Jesús ,"naciera”.
 ",Riu ,,riu ,,"chiu, la guarda ribera",";
 ",Dios guardó el lobo de nuestra cordera,,",
 Dios guardó el lobo de nuestra cordera",,.
