poema,"Dime desde allá abajo
la palabra te quiero",".
¿","Hablas bajo la tierra?
Hablo con el silencio",".
¿","Quieres bajo la tierra?
Bajo la tierra quiero
porque hacia donde corras
quiere cruzar mi cuerpo.
Ardo desde allí abajo
y alumbro tus recuerdos",.
cancion_LolaMontenegro_669,"Dime desde allá abajo
 la palabra te quiero",".
 ¿","Hablas bajo la tierra?
 Hablo con el silencio",".
 ¿","Quieres bajo la tierra?
 Bajo la tierra quiero
 porque hacia donde corras
 quiere cruzar mi cuerpo.
 Ardo desde allí abajo
 y alumbro tus recuerdos",".
 (Transcripción propia a partir del poema y del audio de la canción, a falta de
                    fuente escrita; la puntuación y ortografía son estimadas)."
