poema,"Ausencia en todo veo:
tus ojos la reflejan.
Ausencia en todo escucho:
tu voz a tiempo suena.
Ausencia en todo aspiro:
tu aliento huele a hierba.
Ausencia en todo toco:
tu cuerpo se despuebla.
Ausencia en todo siento.
Ausencia, ausencia, ausencia."
cancion_EduardoRincón_640,"Ausencia en todo veo:
 tus ojos la reflejan.
 Ausencia en todo escucho:
 tu voz a tiempo suena.
 Ausencia en todo aspiro:
 tu aliento huele a hierba.
 Ausencia en todo toco:
 tu cuerpo se despuebla.
 Ausencia en todo siento.
 Ausencia, ausencia, ausencia."
