poema,"Tristes guerras
si no es amor la empresa",,".
Tristes",,. Tristes,,".
Tristes armas
si no son las palabras",,".
Tristes",,. Tristes,,".
Tristes hombres
si no mueren de amores.
Tristes",,. Tristes,,.,
cancion_JoséMiguelArranz_579,"Tristes guerras
 si no es amor la empresa",".
 Tristes, tristes, tris",".
 Tristes ","guerras
 si no es amor la empresa",".
 Tristes",", tristes, tris",".
 Tristes armas
 si no son las palabras",".
 Tristes, tristes, tris",".
 Tristes ","armas
 si no son las palabras",".
 Tristes",", tristes, tris",".
 Tristes hombres
 si no mueren de amores.
 Tristes",", tristes, tris",".
 Tristes ","hombres
 si no mueren de amores",".
 ","Tristes, tristes, tris.
 (Transcripción propia a partir del poema y del audio de la canción, a falta de
                    fuente escrita; la puntuación y ortografía son estimadas)."
