poema,"Se equivocó la paloma.
Se equivocaba.
Por ir al Norte",", ","fue al Sur.
Creyó que el trigo era agua.
Se equivocaba.
Creyó que el mar era el cielo;
que la noche, la mañana.
Se equivocaba.
Que las estrellas, rocío;
que la calor, la nevada",,".
Se equivocaba.
Que tu falda era tu blusa;
que tu corazón, su casa.
Se equivocaba",".
(","Ella se durmió en la orilla.
Tú, en la cumbre de una rama.)",
cancion_AnaBelén_907,"Se equivocó la paloma.
 Se equivocaba.
 Por ir al Norte ",,"fue al Sur.
 Creyó que el trigo era agua.
 Se equivocaba.
 Creyó que el mar era el cielo;
 que la noche, la mañana.
 Se equivocaba.
 Que las estrellas, rocío;
 que la calor, la nevada",".
 Se equivocaba",".
 Se equivocaba.
 Que tu falda era tu blusa;
 que tu corazón, su casa.
 Se equivocaba",".
 (","Ella se durmió en la orilla.
 Tú, en la cumbre de una rama.)
 ","Se equivocaba, se equivocaba.
 Que tu falda era tu blusa;
 que tu corazón, su casa.
 Se equivocaba, se equivocaba.
 Se equivocaba."
