poema,"Eras jardín de naranjas.
Huerta de mares abiertos.
Tiemblo de olivas y pámpanos,
los verdes cuernos.
Con pólvora te regaron.
Y fuiste toro de fuego",,.,
cancion_Laurentino_889,"Eras jardín de naranjas.
 Huerta de mares abiertos.
 Tiemblo de olivas y pámpanos,
 los verdes cuernos.
 Con pólvora te regaron.
 Y fuiste toro de fuego",".
 Con pólvora te regaron",".
 ","Y fuiste toro del pueblo.
 (Transcripción propia a partir del audio y el poema original; la puntuación y
                    ortografía son estimadas)"
