poema,"Prado mortal de lunas
y sangre bajo tierra.
Prado de sangre vieja.
Luz de ayer y mañana.
Cielo mortal de hierba.
Luz y noche de arena.
Me encontré con la Muerte.
Prado mortal de tierra.
Una ",,muerte pequeña,,".
El perro en el tejado.
Sola mi mano izquierda
atravesaba montes sin fin
de flores secas.
Catedral de ceniza.
Luz y noche de arena.
Una ",,muerte pequeña,,".
Una muerte y yo un hombre.
Un hombre solo, y ella
una muerte pequeña.
Prado mortal de lunas.
La nieve gime y tiembla
por detrás de la puerta.
Un hombre, ¿y qué? Lo dicho.
Un hombre solo y ella.
Prado, amor, luz y arena",,.,
cancion_ChuchoMerchán_154,"Prado mortal de lunas
 y sangre bajo tierra.
 Prado de sangre vieja.
 Luz de ayer y mañana.
 Cielo mortal de hierba.
 Luz y noche de arena.
 Me encontré con la Muerte.
 Prado mortal de tierra.
 Una ","muerte pequeña.
 Canción de la muerte pequeña.
 Canción.
 Canción de la ",muerte pequeña,".
 Canción",".
 El perro en el tejado.
 Sola mi mano izquierda
 atravesaba montes sin fin
 de flores secas.
 Catedral de ceniza.
 Luz y noche de arena.
 Una ","muerte pequeña.
 Canción de la muerte pequeña.
 Canción.
 Canción de la ",muerte pequeña,".
 Canción",".
 Una muerte y yo un hombre.
 Un hombre solo, y ella
 una muerte pequeña.
 Prado mortal de lunas.
 La nieve gime y tiembla
 por detrás de la puerta.
 Un hombre, ¿y qué? Lo dicho.
 Un hombre solo y ella.
 Prado, amor, luz y arena",".
 Canción de la muerte pequeña.
 Canción.
 Canción de la muerte pequeña.
 Canción.
 Canción de la muerte pequeña.
 Canción.
 Canción de la muerte pequeña.
 Canción.
 Canción de la muerte pequeña.
 Canción.
 Canción de la muerte pequeña.
 Canción.
 Canción de la muerte pequeña",".
 ","Canción.
 (Transcripción propia a partir del audio a falta de fuente escrita; la
                    puntuación y ortografía son estimadas)."
