poema,,Manantial casi fuente,; ,"casi río
fuente; ya casi mar casi río apenas",";
","mar casi-casi océano de frío.
Principio y Fin del agua y las arenas.
Casi azul, casi cano, casi umbrío,
casi cielo salino con antenas,
casi diafanidad, casi vacío
casi lleno de arpones y ballenas",".
",Participo del ave ,,"por el trino;
por la proximidad, polvo, del lodo
participas, desierto, del oasis,
distancia, de la vena del camino:
por la gracia de Dios —¡ved!—, casi todo.
Gran-Todo-de-la-nada",,-de-los-casis,.
cancion_Duquenque_756,"¡Ay, tú! ¡Tú!
 ¡Casi nada! ¡Casi nada!
 ¡Ay! ¡Ay! ¡Ay!
 ",Manantial casi fuente,"; ¡ay!, ","casi río
 fuente; ya casi mar casi río apenas",";
 ¡ay!, ","mar casi-casi océano de frío.
 Principio y Fin del agua y las arenas.
 Casi azul, casi cano, casi umbrío,
 casi cielo salino con antenas,
 casi diafanidad, casi vacío
 casi lleno de arpones y ballenas",".
 ¡Ay! ",Participo del ave,", ¡ay!, ","por el trino;
 por la proximidad, polvo, del lodo
 participas, desierto, del oasis,
 distancia, de la vena del camino:
 por la gracia de Dios —¡ved!—, casi todo.
 Gran-Todo-de-la-nada",-y,-de-los-casis,".
 ¡Casi nada! ¡Casi nada!
 ¡Ay! ¡Ay! ¡Ay! ¡Ay! ¡Ay! ¡Ay! ¡Ay! ¡Ay! ¡Ay!
 (Transcripción propia a partir del audio y el poema original de Miguel
                    Hernández; la puntuación y ortografía son estimadas)"
