cancion_PacoDamas_80,—Rosa ,fresca,", ",rosa fresca,",
 tan garrida y con amor,
 cuando ",vos ,"tuve
 en mis brazos",",
 ",no vos ,pude ,"servir, no",";
 ",y ,agora ,que os serviría,,",
 ","no vos puedo haber, no",".
 —","Vuestra fue la culpa, amigo",";
 ","vuestra fue, que mía no",";
 enviásteme ","una carta
 con ",,vuestro servidor,",
 ","y en lugar de recaudar
 él dijera otra razón:
 que érades casado, amigo,
 allá en tierras de León",";
 ","que tenéis mujer hermosa
 ",e ,,hijos como una flor,".
 —","Quien os lo dijo, señora,
 no vos dijo verdad, no",";
 ","que yo nunca entré en Castilla
 ni allá en tierras de León,
 sino cuando era pequeño",",
 ",que ,no ,sabía de ,,amor.
cancion_AmancioPradayMaríaJoséCordero_79,—Rosa ,Fresca,", ",Rosa Fresca,",
 tan garrida y con amor,
 cuando ",yo os ,"tuve en mis brazos
 ",,no vos ,supe ,"servir, no",",
 ",y ,ahora ,"que os serviría
 ","no vos puedo haber, no.
 No",", ","no vos puedo haber, no",".
 —","Vuestra fue la culpa, amigo",",
 ","vuestra fue, que mía no",":
 enviástesme ","una carta
 con ",un ,"vuestro servidor
 ",,"y en lugar de recaudar
 él dijera otra razón:
 que érades casado, amigo,
 allá en tierras de León",",
 ","que tenéis mujer hermosa
 ",e ,"hijos como una flor.
 E ",hijos como una flor,".
 —","Quien os lo dijo, señora,
 no vos dijo verdad, no",",
 ","que yo nunca entré en Castilla
 ni allá en tierras de León,
 sino cuando era pequeño
 ",,que ,"non sabía de amor.
 Que non ",sabía de ,"amor—.
 Rosa Fresca, Rosa Fresca,
 tan garrida y con ",amor.
poema,—Rosa ,fresca,", ",rosa fresca,",
tan garrida y con amor,
cuando ",yo os ,"tuve en mis brazos
",,no vos ,supe ,"servir, no",",
",y ,ahora ,"que os serviría
",,,"no vos puedo haber, no",".
—","Vuestra fue la culpa, amigo",",
","vuestra fue, que mía no",":
enviástesme ","una carta
con ",un ,"vuestro servidor
",,"y en lugar de recaudar
él dijera otra razón:
que érades casado, amigo,
allá en tierras de León",",
","que tenéis mujer hermosa
",y ,,hijos como una flor,".
—","Quien os lo dijo, señora,
no vos dijo verdad, no",",
","que yo nunca entré en Castilla
ni allá en tierras de León,
sino cuando era pequeño
",,que ,no ,sabía de ,,amor.
