poema,"El mar también elige
puertos donde reír
como ",,los marineros,,".
El mar de los que son",,".
El mar también elige
puertos donde morir.
Como los marineros",,".
El ",,mar de los que fueron,.
cancion_PacoDamas_589,"El mar también elige
 puertos donde reír
 como ","los marineros.
 El mar también elige
 puertos donde morir.
 Como ",los marineros,".
 El mar de los que son.
 El mar de los que fueron.
 El mar de los que son.
 El mar de los que fueron",".
 El mar de los que son",".
 El mar de los que fueron.
 Ay el mar….
 El mar también elige
 puertos donde reír
 como los marineros",".
 El mar también elige
 puertos donde morir.
 Como los marineros",".
 El mar de los que son",".
 El ","mar de los que fueron……..
 Ay el ",mar de los que fueron,",
 El mar de los marineros.
 (Transcripción propia a partir del poema y del audio de la canción, a falta de
                    fuente escrita; la puntuación y ortografía son estimadas)."
