poema,Uno de los temas más recurrentes entre los temas de ,la ,"tradición musical de
                    Castilla ",y ,León son ,los ,cantos ,de ,"boda, también llamados galas, albadas o cantos
                    de honor",. ,"Las Canciones de Honor eran cantadas por las mozas, amigas de la novia
                    con la intención de homenajear a los novios",. ,Musicalmente tienen su origen en ,"la
                    ",seguidilla castellana. “El día ,de la ,"boda se levantaban temprano los novios,
                    familiares e invitados. Al salir de la casa ",de los ,"padres, por última vez como
                    solteros, cada novio recibía la bendición ",de ,"sus mayores. El novio se dirigía
                    entonces, acompañado ",de ,sus familiares ,y ,"amigos, a la casa ",de la ,"novia, para
                    conducirla a ",la ,iglesia. La ceremonia religiosa solía empezar a las diez de ,"la
                    ","mañana, y a su término las mozas salían de ",la ,"iglesia y se colocaban en lugares
                    estratégicos para cantar ",a la ,"salida de los novios, formando dos coros que se
                    contestaban cada dos versos. Todas estas canciones eran cantadas por ",el ,"cortejo
                    ",de ,mozas que acompañaban a los novios a ,la ,casa de los padres de ,la ,"novia, donde
                    se iba a celebrar la comida ",de ,bodas” (tomado de »Revista ,de ,"Folklore /
                    Fundación Joaquín Díaz)
http://aldabas.wordpress.com/2011/05/23/cantos-de-boda/"
cancion_EntertainimentyRosonika_18,"Licencia pido a la novia
 y también a ",la ,"madrina
 ",y ,a ,los ,padres ,de ,"la novia
 para rondar a esta niña",".
 ","Paloma del palomar
 Quien te ha quitado los vuelos
 Que no has podido bajar
 Desde el palo hasta el suelo",".
 ",Con un sí que dio ,la ,"novia
 A las puertas ",de la ,"iglesia
 Con un sí que dio la novia
 Entro libre y salió presa
 Crezca el honor ",de los ,"mozos y mozas
 Crezca el honor ",de ,"la espiga y la rosa
 Crezca el honor ",de ,los mozos ,y ,"mozas
 Crezca el honor ",de la ,espina y ,la ,"rosa
 Que bonita está ",la ,"sierra
 Con el tomillo florido
 Mas bonita está ",la ,"novia
 En brazos de su marido
 El novio le dio ",a la ,"novia
 Un anillo de oro fino
 Y ella le dio su cariño
 Que vale más que el dinero
 Crezca ",el ,honor ,de ,,la ,espina y ,la ,"rosa
 Crezca el honor ",de ,"novios y padrinos
 Crezca el honor ",de ,"los mozos y mozas
 Crezca el honor de la espina y la rosa"
