poema,,Quiero dormir,", ","y no puedo,
que el amor me quita el sueño.
Manda pregonar el rey
por Granada y por Sevilla
que todo hombre ","namorado
","que se case con su amiga.
Que ",el amor me quita el sueño,".
Quiero dormir y no puedo,
que el amor me quita el sueño",".
[",Que ,"todo hombre enamorado
que ",se case con su amiga,":]
¿","Qué haré, triste cuitado,
que ",es ya ,casada la mía,,"?
Que el amor me quita el sueño.
Quiero dormir",,", ",,"y no puedo,
que el amor me quita el sueño.",
cancion_AmancioPrada_47,"Que el amor me quita el sueño.
 ",Quiero dormir ,,"y no puedo,
 que el amor me quita el sueño.
 Manda pregonar el rey
 por Granada y por Sevilla
 que todo hombre ","enamorado
 ","que se case con su amiga.
 Que ",se case con su amiga,".
 Quiero dormir y no puedo,
 que el amor me quita el sueño",".
 ",Que ,,"se case con su amiga
 ","Todo hombre enamorado
 ¿","Qué haré, triste cuitado,
 que ",era ,casada la mía,"?
 ¿Que era casada la mia","?
 Que el amor me quita el sueño.
 Quiero dormir ","y no puedo,
 que el amor me quita el sueño.
 Manda pregonar el rey
 por Granada y por Sevilla…
 que se case con su amiga",",
 ","todo hombre enamorado.
 Quiero dormir ","y no puedo,
 que el amor me quita el sueño.
 ","Manda pregonar el rey…
 El amor me quita el sueño…"
