poema,Ni ,te lavas ,,ni te ,"peinas
",ni ,,sales de ese rincón,,".
Contigo ",queda ,"la sombra,
",,conmigo el sol,,.,
cancion_BandaInaudita(conJuliánPáez)_600,No te peinas ni ,te lavas,",
 No te peinas ",ni te ,"lavas,
 ",ni ,"sales de ese rincón.
 Ni ",sales de ese rincón,".
 Contigo puede la sombra, y conmigo el sol",".
 Contigo ",puede ,"la sombra, ",y ,conmigo el sol,".
 Quién llenará este vacío, quién llenará este vacío?
 De cielo desalentado, que deja tu cuerpo al mío.
 De cielo desalentado, que deja tu cuerpo al mío.
 No puedo olvidar, no puedo olvidar,
 Que no tengo más nada con que limpiar.
 No vale entristecerse, la sombra que te lo ha dao,
 la sombra que se le lleve",".
 ","La sombra que te lo ha dao, la sombra que se leo lleve.
 (Transcripción propia a partir del poema y del audio de la canción, a falta de
                    fuente escrita; la puntuación y ortografía son estimadas)."
