poema,"Como la higuera joven
de los barrancos eras.
Y cuando yo pasaba
sonabas en la sierra.
Como la higuera joven,
resplandeciente y ciega.
Como la higuera eres.
Como la higuera vieja.
Y paso, y me saludan
silencio y hojas secas.
Como la higuera eres
que el rayo envejeciera."
cancion_InésFonseca_655,"Como la higuera joven
 de los barrancos eras.
 Y cuando yo pasaba
 sonabas en la sierra.
 Como la higuera joven,
 resplandeciente y ciega.
 Como la higuera eres.
 Como la higuera vieja.
 Y paso, y me saludan
 silencio y hojas secas.
 Como la higuera eres
 que el rayo envejeciera."
