poema,"Tristes guerras
si no es amor la empresa.
Tristes. Tristes.
Tristes armas
si no son las palabras.
Tristes. Tristes.
Tristes hombres
si no mueren de amores.
Tristes. Tristes",.
cancion_MichèleBernard_587,"Tristes guerras
 si no es amor la empresa.
 Tristes. Tristes.
 Tristes armas
 si no son las palabras.
 Tristes. Tristes.
 Tristes hombres
 si no mueren de amores.
 Tristes. Tristes",".
 (Transcripción propia a partir del poema y del audio de la canción, a falta de
                    fuente escrita; la puntuación y ortografía son estimadas)."
