poema,"Menos tu vientre,
todo es confuso.
Menos tu vientre,
todo es futuro
fugaz, pasado
baldío",", ","turbio.
Menos tu vientre,
todo es oculto.
Menos tu vientre,
todo inseguro,
todo postrero,
polvo sin mundo.
Menos tu vientre,
todo es oscuro.
Menos tu vientre
claro y profundo",.
cancion_SilvioRodríguez_738,"Menos tu vientre,
 todo es confuso.
 Menos tu vientre,
 todo es futuro
 fugaz, pasado
 baldío ",y ,"turbio.
 Menos tu vientre,
 todo es oculto.
 Menos tu vientre,
 todo inseguro,
 todo postrero,
 polvo sin mundo.
 Menos tu vientre,
 todo es oscuro.
 Menos tu vientre
 claro y profundo",". [Estrofa x 2]
 (Transcripción propia a partir del audio y el poema original de Miguel
                    Hernández; la puntuación y ortografía son estimadas)"
