poema,"Ausencia en todo veo:
tus ojos la reflejan.
Ausencia en todo escucho:
tu voz a tiempo suena.
Ausencia en todo aspiro:
tu aliento huele a hierba.
Ausencia en todo toco:
tu cuerpo se despuebla",,".
Ausencia en todo siento.
Ausencia, ausencia, ausencia",.
cancion_BandaInaudita(conJuliánPáez)_638,"Ausencia en todo veo:
 tus ojos la reflejan.
 Ausencia en todo escucho:
 tu voz a tiempo suena.
 Ausencia en todo aspiro:
 tu aliento huele a hierba.
 Ausencia en todo toco:
 tu cuerpo se despuebla",".
 Ausencias en todo pruebo:
 tu boca me destierra",".
 Ausencia en todo siento.
 Ausencia, ausencia, ausencia",".
 (Transcripción propia a partir del poema y del audio de la canción, a falta de
                    fuente escrita; la puntuación y ortografía son estimadas)."
