cancion_CarlosCano_228,"La muchacha dorada
 se bañaba en el agua
 y el agua se doraba.
 Las algas y las ramas
 en sombra la asombraban
 y el ruiseñor cantaba
 ",,"por la muchacha blanca.
 Vino la noche clara,
 turbia de plata mala,
 con peladas montañas,
 bajo la brisa parda",".
 La muchacha mojada
 era blanca en el agua
 y el agua, llamarada",".
 Vino el alba sin mancha,
 con ",mil ,"caras de vaca,
 yerta y amortajada
 con heladas guirnaldas",,".
 La muchacha de lágrimas
 se bañaba entre llamas
 y el ruiseñor lloraba
 ",,"con las alas quemadas.
 La muchacha dorada
 era una blanca garza
 ",y el agua la doraba,",
 ",y el agua la doraba,".
 (Transcripción propia a partir del audio a falta de fuente escrita; la
                    puntuación y ortografía son estimadas)."
poema,"La muchacha dorada
se bañaba en el agua
y el agua se doraba.
Las algas y las ramas
en sombra la asombraban
y el ruiseñor cantaba
",,"por la muchacha blanca.
Vino la noche clara,
turbia de plata mala,
con peladas montañas,
bajo la brisa parda",".
La muchacha mojada
era blanca en el agua
y el agua, llamarada",".
Vino el alba sin mancha,
con ",cien ,"caras de vaca,
yerta y amortajada
con heladas guirnaldas",,".
La muchacha de lágrimas
se bañaba entre llamas
y el ruiseñor lloraba
",,"con las alas quemadas.
La muchacha dorada
era una blanca garza
",,,y el agua la doraba,.
"cancion_VicentePradal,RafaelPradalyServaneSolane_150","La muchacha dorada
 se bañaba en el agua
 y el agua se doraba.
 Las algas y las ramas
 en sombra la asombraban
 y el ruiseñor cantaba
 ","por la muchacha blanca,
 por la muchacha blanca,
 ","por la muchacha blanca.
 Vino la noche clara,
 turbia de plata mala,
 con peladas montañas,
 bajo la brisa parda",,".
 Vino el alba sin mancha,
 con ",cien ,"caras de vaca,
 yerta y amortajada
 con heladas guirnaldas",".
 La muchacha mojada
 era blanca en el agua
 y el agua, llamarada",".
 La muchacha de lágrimas
 se bañaba entre llamas
 y el ruiseñor lloraba
 ","con las alas quemadas,
 con las alas quemadas,
 ","con las alas quemadas.
 La muchacha dorada
 era una blanca garza
 ",y el agua la doraba,".
 La muchacha dorada.
 La muchacha dorada.
 La muchacha dorada.
 La muchacha dorada.
 La muchacha dorada",,".
 (Transcripción propia a partir del audio a falta de fuente escrita; la
                    puntuación y ortografía son estimadas)."
