cancion_PacoDamas_334,,Yo ,soy ,quien libre me vi,",
 ",yo quien pudiera oluidaros,",
 ",yo ,so ,"el que por amaros
 ",estoy desque ,os ,"conoscí,
 sin Dios ",y ,sin ,vos y ,"mí.
 ",Sin ,"Dios, porqu’en ",vos adoro,",
 sin ",vos,", ",pues no me ,"queréys,
 ",pues ,sin mí ,ya ,está ,"de coro
 que vos ",soys ,quien me ,"tenéys.
 Assí ",que ,"triste nascí,
 ",pues que pudiera oluidaros,",
 ",yo ,so ,"el que por amaros
 ","estó, desque ",os ,"conoscí,
 sin Dios ",y ,sin ,vos y ,mí.
poema,"Gloſa de don jorge manrrique
¶",Yo ,ſoy ,"quien libre me vi
",,"yo quien pudiera oluidaros
",,yo ,ſo ,"el que por amaros
",eſtoy deſque ,os ,"conoſci
ſin dios ",y ,ſin ,vos y ,"mi
",Sin ,dios porquen ,"vos adoro
",ſin ,vos ,,pues no me ,"quereys
",pues ,ſin mi ,ya ,eſta ,"de coro
que vos ",ſoys ,quien me ,"teneys
Aſſi ",que ,"triſte naſci
","pues que pudiera oluidaros
",,yo ,ſo ,"el que por amaros
",eſto deſque ,os ,"conoſci
ſin dios ",y ,ſin ,vos y ,mi
cancion_AmparoGarcíaOteroyNinoSánchez_336,,Yo ,soy ,quien libre me vi,",
 ",yo quien pudiera oluidaros,",
 ",yo ,so ,"el que por amaros
 ",estoy desque ,os ,"conoscí,
 sin Dios ",y ,sin ,vos y ,"mí.
 ",Sin ,"Dios, porqu’en ",vos adoro,",
 sin ",vos,", ",pues no me ,"queréys,
 ",pues ,sin mí ,ya ,está ,"de coro
 que vos ",soys ,quien me ,"tenéys.
 Assí ",que ,"triste nascí,
 ",pues que pudiera oluidaros,",
 ",yo ,so ,"el que por amaros
 ","estó, desque ",os ,"conoscí,
 sin Dios ",y ,sin ,vos y ,mí.
