cancion_Lobera_78,"En Castilla no había rey
 ",,"ni menos emperador
 ",,sino un infante niño,",
 ",niño ,,y de poco valor,".
 Andábanlo ","por hurtar
 caballeros de Aragón",",
 hurtado ",le ha un carbonero,",
 ",de los que ,hacían ,"carbón.
 No le muestra a cortar leña,
 ni menos ",a ,"hacer carbón,
 muéstrale a jugar las cañas",",
 ","y muéstrale justador,
 también ",le muestra ,"los dados
 y las tablas muy mejor",".
 —","Vámonos —dice—, mi ayo,
 a mis tierras de Aragón",",
 ","a mí me alzarán por rey
 y a vos por gobernador."
poema,En Castilla no había rey,",
",ni menos emperador,",
",sino un infante niño,",
(",niño,) ,y de poco valor,";
andábanlo ","por hurtar
caballeros de Aragón",".
Hurtado ","le ha un carbonero
",,de los que ,hacen ,"carbón.
No le muestra a cortar leña,
ni menos ",,"hacer carbón,
muéstrale a jugar las cañas
",,"y muéstrale justador,
también ",a jugar ,"los dados
y las tablas muy mejor",".
—","Vámonos —dice—, mi ayo,
a mis tierras de Aragón",";
","a mí me alzarán por rey
y a vos por gobernador."
