poema,"En la ciudad de Toledo
y en la ciudad de Aragón,
nacido nos había un baile,
nacido nos había un varón;
chiquito era de cuerpo",",
","malo y de mala intención.
Mató ",a su padre y ,,"su madre
","y a un hermanito, el mayor;
tres ",hermanas que tenía,",
un mal oficio les dió:
una puso en la taberna
y la otra en el mesón
y la más chiquita de ellas
la ",puso ,a vender cairón,".
","Otro día en la mañana
su hermano por áhi pasó.
— ¿A cómo vendes, hermana,
a cómo vendes cairón?
— ¡Cómo lo haré, mi hermano,
no lo sabo vender",", ","no!;
si la gente vende a libra",",
",yo lo vendo ,a ,"cuarterón.—
Alzó vara de membrillo,
",las ,"cien varadas le dio.
Otro día en la mañana
la niña ya se enseñó:
— ¿A cómo vendes, hermana,
a cómo vendes cairón?
— Si la gente vende a treinta,
yo lo vendo a treinta y dos",.
cancion_CurroPiñana_49,Y a su hermanico el mayor,",
 ",mató ,a su padre y ,a ,su madre,".
 Tres ","hermanas que tenía
 ",,puso ,al oficio trotón,".
 ",Ole,", ",anda,",
 ",,a ,mal negocio ,las ,metió,.
