cancion_AuraMusica_31,¡,"Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,,,,,,,,,,,".
 ¡","Ay, linda amiga",",
 ",que no ,vuelvo ,a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",No hay ,amor ,sin pena,,",
 ",pena sin dolor,",
 ",ni ,"dolor tan agudo
 como el del ","amor.
 ",Ni ,"dolor tan agudo
 como el del ",amor,,,,,,,,,".
 ¡Ay",", ",linda amiga,",
 ","que no vuelvo a verte!
 Cuerpo garrido
 que me ",lleva a la muerte,,,,".
 ¡","Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,,,,,,,,".
 ","Levantéme madre
 al salir el sol",,",
 ",fui ,"por los campos verdes
 ",a ,buscar mi amor,,,".
 ",Fui ,"por los campos verdes
 a buscar mi ",amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 Levantéme madre
 al salir el sol",",
 ",fui ,"por los campos verdes
 ",a ,"buscar mi amor.
 Fui ","por los campos verdes
 a buscar mi ",amor,.
cancion_Music4aWhile_36,¡,"Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",No hay amor sin pena,",
 ",,pena sin dolor,",
 ",ni ,"dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",amor,".
 ¡","Ay, linda amiga",",
 ",que no ,vuelvo ,a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",Levantéme ,"madre
 al salir ",el ,sol,",
 ","fui por los campos verdes
 a buscar mi ",,,,"amor.
 ",Fui ,"por los campos verdes
 a buscar mi ",amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ¡Ay",", ",linda amiga,",
 ","que no vuelvo a verte!
 Cuerpo garrido
 que me ",lleva a la muerte,,,,".
 ¡","Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ","No hay amor sin pena,
 ",,"pena sin dolor,
 ni ","dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",amor,".
 ","Levantéme madre
 al salir el sol",,",
 ",fui ,"por los campos verdes
 ",a ,buscar mi amor,,,".
 ",Fui ,"por los campos verdes
 a buscar mi ",amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ¡Ay, linda amiga",",
 ",que no vuelvo ,,a ,"verte!
 ¡Ay",", ",linda amiga!,
cancion_AlaVia_28,¡,"Ay, linda amiga",",
 ",que ,no ,voy ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",No hay amor sin pena,",
 ",ni ,pena sin dolor,",
 ",ni ,"dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",amor,".
 ¡","Ay, linda amiga",",
 ",que no ,voy ,a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",Levanté mi ,"madre
 al salir ",de ,sol,",
 ","fui por los campos verdes
 a buscar mi ",,,,"amor.
 ",Fui ,"por los campos verdes
 a buscar mi ",amor,,,,,,,,,,,,,,,,,,".
 ¡","Ay, linda amiga",",
 ",que ,no ,voy ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ","No hay amor sin pena,
 ",ni ,"pena sin dolor,
 ni ","dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amor,.
poema,¡,"Ay, linda amiga",",
",que ,no ,vuelvo ,a ,verte,"!
Cuerpo ","garrido
que me lleva ",a ,la muerte,".
",No hay amor sin pena,",
",,pena sin dolor,",
",ni ,,"dolor tan agudo
como el del ",,,,,,,,,,,,,,amor,";
",,,,,ni ,,,,"dolor tan agudo
como el del ",amor,".
¡",,,,,,,,,,,,,,,,,,"Ay, linda amiga",",
",que ,no ,vuelvo ,a ,verte,"!
Cuerpo ","garrido
que me lleva ",a ,la muerte,,,,,,,,".
","Levantéme madre
al salir el sol",,",
",fui ,,,,,,,,"por los campos verdes
a buscar mi ",amor,";
",,,,,,,,,,fui ,,,,"por los campos verdes
a buscar mi ",amor,.
cancion_AmancioPrada_29,,"Ay, linda amiga ",,que ,no ,vuelvo ,a ,verte,",
 cuerpo ",garrido que me lleva ,,la muerte,".
 ","Me hiela la sangre
 viento de vejez",",
 ",me arranca los cabellos,,",
 ","me seca la piel,
 los ojos se me nublan,
 ni lloran ni ven.
 ",,,,,"Ay, linda amiga ",,que no ,vuelvo ,a verte,",
 cuerpo ",garrido que me lleva ,,la muerte,".
 ",Preso me conducen,,,,",
 ",me echan en prisión,",
 ","mazmorra de tinieblas
 florida de moho
 en donde para siempre
 dormiré solo.
 ",,,,,,,"Ay, linda amiga ",,que no vuelvo a verte,",
 cuerpo ",garrido que me lleva ,,la muerte,".
 Dónde está aquel bosque",",
 ",dónde el manantial,",
 ","en donde te bañabas,
 cuerpo de coral,
 y ",,"mientras te secabas
 ",,me sonreías,".
 ","Ay, linda amiga ",,que ,no ,vuelvo ,a ,verte,",
 cuerpo ",garrido que me lleva ,,la muerte,".
 ","Lejos se me borra
 ",,"ventanita azul
 y más y más ","menuda
 ",te me pierdes tú,,".
 ",A dónde ,vas,", ",,,a ,"dónde,
 ",Lucerita ,luz,".
 ",,,,,"Ay, linda amiga ",,que no vuelvo a verte,",
 cuerpo ",garrido que me lleva ,,la muerte,,,,,,,,,.
cancion_AnDanzza_30,¡,"Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",No hay amor sin pena,",
 ",,pena sin dolor,",
 ",ni ,"dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",amor,".
 ¡","Ay, linda amiga",",
 ",que no ,vuelvo ,a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",Levantéme ,"madre
 al salir ",el ,sol,",
 ","fui por los campos verdes
 a buscar mi ",,,,"amor.
 ",Fui ,"por los campos verdes
 a buscar mi ",amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ¡Ay",", ",linda amiga,",
 ","que no vuelvo a verte!
 Cuerpo garrido
 que me ","lleva a la muerte.
 ¿Dónde está aquel monte?
 ¿Dónde el manantial
 en donde te bañabas,
 cuerpo de coral?
 Y ",mientras te secabas,",
 ",me sonreías,".
 ¡","Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",Lejos se me borra,",
 ","ventanita azul
 y más y más ","pequeña
 ",te me pierdes tú,".
 ¿Adónde ",,,vas,",
 ","adónde?
 ",,,,Lucerita,,,,,,,,,,,,,,,,,,,,", ",luz,.
cancion_Jaramar_35,¡,"Ay, linda amiga",",
 ",si ,no ,puedo ,,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",No hay amor sin pena,",
 ",,pena sin dolor,",
 ",ni ,,"dolor tan agudo
 como el del ",amor,,,,,,,,,,,".
 ",No hay ,amor ,sin pena,,",
 ",pena sin dolor,",
 ",ni ,"dolor tan agudo
 como el del ","amor.
 ","Levantéme madre
 al salir el sol,
 fui ","por los campos verdes
 a buscar mi ",amor,,,,,,,,,,,,,,,,,,".
 ¡","Ay, linda amiga",",
 ",si ,no ,puedo ,,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ","No hay amor sin pena,
 ",,"pena sin dolor,
 ni ","dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amor,.
cancion_PhatManDee_37,¡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ","No hay amor sin pena,
 ",,"pena sin dolor,
 ni ",,"dolor tan agudo
 como el del ",,,,,,,,,,,,,,,amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 Levantéme madre
 al salir el sol",",
 ",fui ,"por los campos verdes
 ",a ,"buscar mi amor.
 Fui ","por los campos verdes
 a buscar mi ",amor,.
cancion_ColleenKattau_34,¡,,,,,,,,,,,,,,,,,,,,,,,"Ay, linda amiga",",
 ",que no ,vuelvo ,a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ",No hay ,amor ,sin pena,,",
 ",pena sin dolor,",
 ",ni ,"dolor tan agudo
 como el del ","amor.
 ",Ni ,"dolor tan agudo
 como el del ",amor,,,,,,,,,,,,,,,,,,".
 ¡","Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,,,,,,,,".
 ","Levantéme madre
 al salir el sol",,",
 ",fui ,"por los campos verdes
 ",a ,buscar mi amor,,,".
 ",Fui ,"por los campos verdes
 a buscar mi ",amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,,,,,,,,,.
cancion_Annwn_32,¡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ay, linda amiga",",
 ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 ","No hay amor sin pena,
 ",,"pena sin dolor,
 ni ","dolor tan agudo
 como el del amor.
 Ni ","dolor tan agudo
 como el del ",,,,,,,,,,,,,,,amor,".
 ¡","Ay, linda amiga",",
 ",que no vuelvo a verte,"!
 Cuerpo ","garrido
 que me lleva ",a ,la muerte,".
 Levantéme madre
 al salir el sol",",
 ",fui ,"por los campos verdes
 ",a ,"buscar mi amor.
 Fui ","por los campos verdes
 a buscar mi ",amor,.
cancion_CorvusCorax_33,¡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ay, linda amiga",", ",que ,no ,vuelvo ,a ,verte,"!
 Cuerpo ",garrido que me lleva ,,la muerte,".
 ","No hay amor sin pena, ",,"pena sin dolor,
 ni ","dolor tan agudo como el del amor.
 Ni ",dolor tan agudo como el del ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amor,.
