poema,,"Cuando llegue la luna llena iré a Santiago de Cuba,
iré a Santiago
en un coche de agua negra,
iré a Santiago,
cantarán los techos de palmera,
iré a Santiago.
Cuando la palma quiere ser cigüeña
iré a Santiago
",y cuando ,"quiere ser medusa el plátano
iré a Santiago",,".
","Iré a Santiago
con ",la rubia cabeza de Fonseca,".
Iré ","a Santiago.
Y con la rosa de Romeo y Julieta
iré ","a Santiago.
Mar de papel y plata de monedas.
Iré ",a Santiago,".
¡",Oh Cuba! ¡Oh ritmo de semillas secas,"!
Iré a Santiago.
¡","Oh cintura caliente y gota de madera!
","Iré a Santiago.
",Arpa de troncos vivos. Caimán. Flor de tabaco,,".
",Iré a Santiago,".
Siempre he dicho que yo iría a Santiago
en un coche de agua negra",".
Iré a Santiago",".
Brisa y alcohol en las ruedas
","iré a Santiago.
Mi ","coral en la tiniebla
","iré a Santiago.
","El mar ahogado en la arena
",iré a Santiago,",
calor blanco, fruta muerta",".
Iré a Santiago.
¡",Oh bovino frescor de cañavera,"!
¡","Oh Cuba! ¡Oh curva de suspiro y barro!
Iré a Santiago",,.,
cancion_MigueldePoveda_156,"Son, son, son de negros en Cuba.
 Son, son, son de negros en Cuba.
 ","Cuando llegue la luna llena iré a Santiago de Cuba,
 iré a Santiago
 en un coche de agua negra,
 iré a Santiago,
 cantarán los techos de palmera,
 iré a Santiago.
 Cuando la palma quiere ser cigüeña
 iré a Santiago",".
 Cuando ","quiere ser medusa el plátano
 iré a Santiago",".
 Son, son, son de negros en Cuba.
 Son, son, son de negros en Cuba.
 En Cuba.
 Son, son son de negros en Cuba",".
 ","Son, son son de negros en Cuba.
 Con ",la rubia cabeza de Fonseca,",
 iré ","a Santiago.
 Y con la rosa de Romeo y Julieta
 iré ",,a Santiago,".
 ¡",Oh Cuba! ¡Oh ritmo de semillas secas,"!
 ¡","Oh cintura caliente y gota de madera!
 ",,Arpa de troncos vivos. Caimán. Flor de tabaco,".
 Son, son, son de negros en Cuba",".
 ","Son, son, son de negros en Cuba",".
 Siempre he dicho que yo iría a Santiago
 en un coche de agua negra",,".
 Brisa y alcohol en las ruedas",",
 mi ","coral en la tiniebla
 ",,El mar ahogado en la arena,,",
 calor blanco, fruta muerta",".
 ¡",Oh bovino frescor de cañavera,"!
 ¡","Oh Cuba! ¡Oh curva de suspiro y barro!
 Iré a Santiago",".
 Son, son, son de negros en Cuba.
 Son, son, son de negros en Cuba.
 Son, son, son de negros en Cuba.
 Son, son, son de negros en Cuba.
 ¡Oh Cuba! ¡Oh ritmo de semillas secas!
 ¡Oh cintura caliente, oh gota de madera!
 Arpa de troncos vivos. Caimán. Flor de tabaco.
 Son, son de Cuba,
 mi son,
 son, son que rico
 mi son,
 son, son de Cuba
 mi son",".
 ","Que viene mi Federico
 de Nueva York a La Habana
 y nos vamos en un coche de agua negra
 a bailar con Miguel
 Son, son, qué rico
 qué son de negros en Cuba
 qué rico
 son mi salero
 qué rico
 llegaron los negros sombra verso
 qué rico
 para seguir alegrando el cuerpo.
 (Transcripción propia a partir del audio a falta de fuente escrita; la
                    puntuación y ortografía son estimadas)."
